Unnamed: 0,SLS-2_TMS_FLT_F13_Cut2,SLS-2_TMS_FLT_F14_Cut2,SLS-2_TMS_FLT_F15_Cut2,SLS-2_TMS_FLT_F16_Cut2,SLS-2_TMS_FLT_F17_Cut2,SLS-2_TMS_FLT_F18_Cut2,SLS-2_TMS_GC_G10_Cut2,SLS-2_TMS_GC_G11_Cut2,SLS-2_TMS_GC_G12_Cut2,SLS-2_TMS_GC_G22_Cut2,SLS-2_TMS_GC_G23_Cut2,SLS-2_TMS_GC_G24_Cut2
Ube2a,370.420867661247,265.338569672791,371.406495195053,334.504910827509,345.905337136944,292.172547373524,483.956199842867,530.10861459384,360.228014661873,491.205248556906,371.604662791112,339.090679624441
Chmp2b,130.053954919158,188.564819604091,149.068391753399,158.737861933957,198.65206208112,78.5121923501321,80.1474179134377,118.970955470863,101.969471621477,114.975480201293,84.6234561743811,93.0118330539814
Cyp1b1,90.7016866005567,123.99790990058,98.8892961929,103.86911243553,116.594341765547,108.77395452984,25.6908480871155,55.885933366255,57.4757640586599,68.3125890576736,90.6497016715681,57.7036269423435
Cfap20,552.081374196136,746.323052787331,642.654039769368,691.070401036856,625.860756853102,724.406928094529,993.124150645569,642.602148127404,823.941322901713,888.560517062877,714.500394489126,892.010034117787
Cyp2j10,9.02274906752291,0.0,24.0884322757609,22.7208265603334,0.0,30.5931194646981,0.0,0.0,3.65575545384474,7.09736643627065,6.19838193881075,9.82217383586108
Gimap1,1034.16544665143,1195.98457812953,1021.36267782136,1125.88409608904,1056.94159358086,1262.94255981999,1593.03146225367,1643.26944077179,1194.84232357593,1689.71942367373,1204.78654471928,1376.62997251414
Trappc2,147.821727819126,112.037901742321,143.656978851264,57.9548457904295,84.2466709036433,107.310228980409,260.712067879423,89.3918991060213,237.565645880126,115.177384856026,187.090371462193,180.042345343978
Nek11,3.33812548383759,9.86232673102224,15.277667498962,19.0093269911789,18.8846268618417,3.41349334316687,6.97278190221596,0.0,7.54612791370866,6.68176058226369,5.96502088458079,11.0962154338757
Milr1,427.870031372093,333.717572897549,474.336216054815,305.506632936758,307.240431458591,489.778651280793,415.79118975473,198.765503196806,329.886042547314,233.053915020075,276.122463838052,276.159557307476
Ptcra,2772.04476445881,3137.81748862616,3091.29258227334,3419.99684965829,2941.85349189789,3919.07078166617,4117.61202989739,4117.26713293115,3292.02084782929,3303.53647132962,3596.86394505136,3395.13174281603
Rgs10,1979.52006275433,3775.68277862004,2319.77824935708,3216.40553447211,2273.45538597741,2701.54870675142,2496.15361952556,2026.69639893071,2248.84896475706,1443.95803100598,1718.27350527676,1672.5426918759
Msrb3,43.3881925738606,34.4809568130277,48.9614995418739,22.7914231311383,41.500031978103,23.5458201864647,12.5369585697057,6.59514298116863,27.3417895760012,10.6789830357586,13.7301758183136,9.85043120124392
Cd59b,441.108527131884,328.28298187581,412.515258424306,332.116034129213,350.20050056588,262.801734457743,346.992505976793,174.911311064767,373.827719694725,177.465370792678,324.50342229235,292.535450623762
Jam2,109.785929505245,195.028988302518,167.455386070118,118.727476826296,265.03521352496,108.359551962929,56.9900648785336,173.0369213256,42.2170049567074,51.4464408679585,84.7674002816474,69.0048789993834
Rgcc,5671.22748271748,5498.56911596936,5126.50655140228,3209.33142450547,5072.36409922253,5204.71029843536,11574.9010958794,10388.6053802475,8325.01359740293,12273.680311791,7296.28807705067,8534.05240514803
Rd3l,107.798730453983,100.651219480295,84.309550290463,25.966185302846,97.7901072611518,101.978198798035,219.428819089338,338.611695708791,171.416217291008,161.02071277049,253.878894158343,165.752796251844
Fbxl13,2.55598489407664,11.327840220932,0.0,0.0,20.2438014124953,0.0,0.0,0.0,0.156162542732644,0.0,0.198581126575757,0.0
Sec22a,100.674950828515,137.48550567387,141.994976392587,207.732838523171,206.862629212438,81.5817555471626,107.628383184273,46.024437388381,97.0807403832799,110.009118240068,108.98838745231,61.3887393460319
Mt2A,591.737991920435,566.616252788836,685.255639445394,863.227375310576,951.624726454406,1050.4853868997,71.5427592902622,111.786433592893,79.0140850634533,88.2689907178538,189.336099044686,127.71724938713
Tomm7,2207.0414534942,2358.63758213732,2553.77299732004,1955.92156500524,1956.44426400857,2731.38501029308,3974.60442632006,2521.45911242686,3325.29441958587,2164.12809082843,2630.85531321802,2666.79313584501
Itga9,23.5752216530745,23.0003759909601,30.1856259961755,19.7317269315318,110.507432317196,6.36818481577198,16.8836357020564,29.9760133470116,8.6422213388455,10.7862092135972,21.4561069739942,18.6584011030543
Septin6,599.264318656791,654.3000044918,564.607005947096,577.391669041769,771.082943585045,405.138013776312,747.97219283122,882.476997255704,649.352852939522,856.852333279155,576.853308358352,729.573956692253
Coq8a,42.7631649716413,25.7942044889723,69.134446996131,68.2011892416692,30.1058645694875,64.6213317270936,39.6009891328851,6.57856160851021,37.3421861982001,24.8547461327537,52.7154365530913,39.3103264951254
Zfp949,41.494429381836,73.7800250181319,40.3328876942946,87.9576512573242,19.5620062166177,67.1825353405596,29.1714645209658,57.4866884097719,34.5112270452616,26.8230017929069,11.1522006774942,16.6026318557394
Fubp1,731.478334990319,584.103018128531,839.743511010044,763.787589590297,1025.58007407163,729.246004929767,914.800225584863,1123.58734142973,918.758433729922,1221.48593220687,769.032705546858,1066.38070178368
Fdps,488.033529158304,669.32557191085,373.569176131403,405.953249771964,611.251475792473,394.758881587882,731.795573291568,548.808983137954,735.298268244858,669.838578718503,617.951499146142,631.852766592054
Spp1,34.8765446166926,37.0238089429363,70.7899816417421,91.4330045726795,34.0554705695982,82.0765774174173,4.78478579786156,22.6529214352795,13.6900860335348,17.4662479483078,52.4047404573253,20.9988811617431
Slc39a3,257.498035539262,273.310274899506,225.87678830031,329.77636998771,440.875134579688,257.246403325842,145.913542768552,239.757898583793,170.567694519238,156.486685288814,236.385587186688,200.48664139863
Dusp11,270.396103205223,205.801925771721,254.440309605053,152.067766301721,327.041398048381,228.501463573675,488.284222835302,301.34653888483,376.655323835823,340.062390384317,349.301668561135,304.984605944825
Rbm14,501.316393822116,500.551967990963,398.473337081504,367.09712652682,370.687100420112,482.673235560898,570.495352205142,763.655813065379,666.858868073141,582.612221377616,542.592479696536,532.223567287392
Hax1,244.923938693014,299.992250932315,241.390626146932,310.631173547279,318.273372663455,343.32782160982,358.194539137486,515.158957779577,301.551882278571,294.241398551389,266.26503074584,348.254060674375
Arrdc3,135.00645704384,60.4595877936502,128.43335996695,131.806826549006,237.792205272799,186.762523307283,71.9620863696615,169.766094673424,56.9164077769665,64.471472038606,40.6103888301987,63.6449169780223
Thbs1,34.6660777277341,83.484176178503,58.9532327120405,146.066097722287,15.0444260244903,61.1853089774487,20.8303804636781,16.43702835993,10.5609107964389,19.9614766353792,23.7600162898589,25.7824382069764
Impact,219.26888511566,203.368741229301,300.093991536495,239.005668709347,168.673580280127,229.280559241452,96.5508752245867,182.610184130271,152.947437386026,110.643305791805,194.608179219745,181.789369175321
Cldn3,34.1913606671814,41.739114675619,38.668263368495,38.9503818567644,0.0,40.7905747374008,27.7745135701031,0.0,16.2477019529165,5.32303925744165,36.6734797298543,7.36654144775496
Sf3b6,1956.39487071016,1883.65666663957,2529.77351480509,1700.61442346273,1542.00387063452,2505.17952575204,4772.61707843393,1798.19729432696,3542.54947987591,2180.50218046383,2213.04952079269,1966.91409807447
Acp5,1378.61049709485,1448.44208231254,1487.80285606994,1674.85213031213,1338.99306797284,1169.36709886363,929.805410515002,1262.41544701473,1008.61066929608,909.361488618911,1355.6756429849,1081.70423045229
Gspt1,2024.92576516579,1793.13766994571,2051.2852568539,1689.54987642766,1972.78655435471,1597.42738886283,2604.52199492429,2239.98335315153,2217.57453591866,3397.87090258021,2214.77122014007,2326.92851537096
Cited4,4.27395114058098,7.36491496317226,6.97296940879793,81.1447685247914,0.0,16.9963103551058,0.0,0.0,4.26508137328032,0.0,5.68190519399365,0.0
Fcgr2al1,241.968095537496,303.216634556258,288.378064824891,197.7611234022,253.2300990717,177.811908197271,210.879475058332,265.460439875018,227.977744115325,129.814957332478,186.145513506158,60.4755031693907
Slpi,554.530973997942,675.510222566291,638.861966336957,267.460831025922,507.915166691465,556.949174448561,1077.86171412989,541.24812691109,1183.43689231306,598.10290497292,817.862993349518,838.862448706818
Apoo,86.2963243143436,81.2355435761748,76.0699947370349,30.933355612834,94.7590533365897,94.3960169910528,176.349735512544,97.8127661349756,126.847329559314,164.404763584784,75.7904474185096,179.498541967443
