Unnamed: 0,RR9_TMS_FLT_F1,RR9_TMS_FLT_F6,RR9_TMS_FLT_F7,RR9_TMS_FLT_F3,RR9_TMS_FLT_F5,RR9_TMS_FLT_F2,RR9_TMS_FLT_F8,RR9_TMS_FLT_F4,RR9_TMS_FLT_F10,RR9_TMS_FLT_F9,RR9_TMS_GC_G4,RR9_TMS_GC_G10,RR9_TMS_GC_G1,RR9_TMS_GC_G7,RR9_TMS_GC_G6,RR9_TMS_GC_G9,RR9_TMS_GC_G8,RR9_TMS_GC_G3,RR9_TMS_GC_G2,RR9_TMS_GC_G5
Sgpp1,294.015193538964,318.091589528588,236.193403841472,215.147766516876,209.005506955962,365.780598830531,234.681263956479,134.420869064177,373.868211120548,252.160775107205,157.27580566985,238.361307437857,149.443137264525,159.833301296174,231.241295558072,96.4571003785083,180.720069746064,248.630427777037,109.328526798779,156.080451290528
Fut8,262.006779784091,368.815902063162,162.365949398623,138.723387922259,450.449029387064,297.349097808029,203.286451699654,259.228883776779,199.872578146681,185.410993067859,150.555573786759,173.458945352502,156.228582359403,149.067681609223,278.036662796471,166.469051492806,257.027466968953,159.601825670771,112.614340801685,119.313780957147
Sav1,114.477305180712,242.741813918272,171.243404464096,98.5556747313873,305.564623658389,231.240125898284,133.900282468423,173.662270206958,181.749769978809,181.06628748516,133.310418771918,118.969469085999,137.509178676851,141.943470601896,129.62377610744,166.128486037102,126.68938593835,89.4305047405506,102.838653529582,110.008534607625
Vrk1,111.61823975382,76.3718036707237,71.7791895448115,97.2856005051228,58.8426258489413,74.9075064380166,95.445537523567,35.4348726322684,103.86355594977,98.6751420178652,161.21939719462,108.097826778772,153.479886684994,161.002010566753,129.362000094406,170.49608390255,166.579790893392,142.251214886287,144.429869030828,204.147878127244
Zfp36l1,374.748860384255,714.551291197908,694.004371780569,1082.54783338229,557.39821936778,1065.28714973326,863.565081057355,796.748923644624,773.213108171534,649.647433682659,318.656550304608,589.683905364469,584.683776913091,587.06652050892,477.37185767397,453.337732649219,600.261579197654,572.511277085955,738.455364714067,572.784350139409
Erh,558.470460503134,1021.12545184622,818.233204361002,762.215388915141,520.184171190273,540.646235457873,730.181645654818,1017.13577204508,516.241011259518,904.975407830526,1538.07409896708,1171.74362714655,1099.86649377244,1409.7646586925,818.898560818914,1072.16805815132,952.465793928395,1400.37994195411,1442.30768564296,1694.2697941103
Susd6,199.866632505231,244.661918724002,309.628247361684,239.226576275542,284.759238315772,409.219755331838,421.045434318862,297.067478041078,369.985510838952,381.763608499658,198.069647707595,279.799035282048,222.685017075426,167.083639109762,267.82632863952,185.746627482771,175.762366307962,204.30949962734,147.92660488987,209.286879475519
Mta1,43.8554155498015,7.79439375637007,75.4333324723313,67.9171156378673,33.4850967358987,26.8641913999536,9.62183808870557,74.6078728247386,74.4127388431383,34.7166980848981,42.4470305664878,99.8007000909433,146.590784747341,55.034578574655,135.51364487968,50.1200831860428,149.671690497036,98.740804273906,100.702954881084,108.502907029706
Wdr37,169.400241524617,267.880925304918,164.139995024548,119.164479366041,342.137962321768,216.83659049579,304.493520410286,233.883257113526,159.173797390708,179.123076355618,107.39369343196,221.718656877236,117.605200973027,142.839931064804,177.077707180763,83.0290425645062,173.92250620173,148.797665624226,115.919173517759,89.1244570438312
Esyt2,685.808769614673,564.710599959958,663.711898234568,475.591954538177,993.728407608227,739.366232441349,383.870461340949,608.32712443873,415.797534504594,507.90140636582,267.48572853891,401.526749293844,395.955586444397,361.828716773138,682.094575707241,436.250324428619,425.944190096063,409.319002788944,268.813738004647,236.372167983076
